,open,high,low,close,volume,hlc3,ohlc4,hl2,price
2024-03-15 16:00:00,19683.95,38969.14,12802.0,21234.93,655142,24335.36,23172.51,25885.57,21234.93
2024-03-15 16:15:00,14200.3,22543.29,-3599.62,21167.03,1347351,13370.23,13577.75,9471.83,21167.03
2024-03-15 16:30:00,-70527.96,34853.02,112717.13,21096.04,745028,56222.06,24534.55,73785.07,21096.04
2024-03-15 16:45:00,-7919.6,75238.39,-4789.56,21058.79,1199747,30502.54,20897.01,35224.42,21058.79
2024-03-15 17:00:00,76371.81,135836.96,-11844.23,21070.4,1149477,48354.37,55358.73,61996.36,21070.4
2024-03-15 17:15:00,-14695.1,31544.95,10441.21,21100.43,1183926,21028.86,12097.87,20993.08,21100.43
2024-03-15 17:30:00,15624.55,39508.39,-51342.96,21171.2,1047557,3112.21,6240.29,-5917.28,21171.2
2024-03-15 17:45:00,69275.83,127357.08,6216.59,21300.7,706172,51624.79,56037.55,66786.83,21300.7
2024-03-15 18:00:00,77545.58,270357.65,-17695.48,21400.9,823982,91354.36,87902.16,126331.09,21400.9
2024-03-15 18:15:00,-37181.65,41308.16,78279.54,21524.35,1305821,47037.35,25982.6,59793.85,21524.35
2024-03-15 18:30:00,17612.66,86109.24,-15764.31,21656.03,840962,30666.99,27403.4,35172.46,21656.03
2024-03-15 18:45:00,89716.27,211863.1,-4792.03,21779.63,693872,76283.56,79641.74,103535.53,21779.63
2024-03-15 19:00:00,-56141.4,31081.44,22771.76,21903.26,1415692,25252.15,4903.76,26926.6,21903.26
2024-03-15 19:15:00,-21514.49,63458.35,-20849.64,21986.61,1185731,21531.77,10770.21,21304.35,21986.61
2024-03-15 19:30:00,5888.01,81975.92,3581.72,22031.91,1090859,35863.19,28369.39,42778.82,22031.91
2024-03-15 19:45:00,-50870.94,100193.83,-23172.22,22081.15,899141,33034.26,12057.96,38510.81,22081.15
2024-03-15 20:00:00,14496.46,37469.0,-18129.48,22051.13,1103395,13796.88,13971.78,9669.76,22051.13
2024-03-15 20:15:00,-6419.92,79897.52,-3650.47,21966.5,995699,32737.85,22948.41,38123.53,21966.5
2024-03-15 20:30:00,56099.7,188906.52,-60906.14,21855.54,691594,49951.97,51488.9,64000.19,21855.54
2024-03-15 20:45:00,44696.05,121512.27,-9561.15,21724.86,1113393,44558.66,44593.01,55975.56,21724.86
2024-03-15 21:00:00,35522.3,55305.97,20854.9,21570.71,1107660,32577.19,33313.47,38080.43,21570.71
2024-03-15 21:15:00,-36369.39,118106.2,32127.68,21408.92,973895,57214.27,33818.35,75116.94,21408.92
2024-03-15 21:30:00,-6151.44,40041.92,-4296.03,21278.04,1075436,19007.98,12718.12,17872.94,21278.04
2024-03-15 21:45:00,-14627.51,43776.11,53419.08,21146.6,1113382,39447.26,25928.57,48597.59,21146.6
2024-03-15 22:00:00,52296.42,115729.96,-18545.37,21062.27,1106365,39415.62,42635.82,48592.29,21062.27
2024-03-15 22:15:00,13223.98,35383.17,-12369.63,20998.76,1193570,14670.77,14309.07,11506.77,20998.76
2024-03-15 22:30:00,-28119.8,42781.59,-9114.49,20981.13,913363,18216.08,6632.11,16833.55,20981.13
2024-03-15 22:45:00,-24264.26,69247.9,-11796.55,21023.59,773243,26158.31,13552.67,28725.67,21023.59
2024-03-15 23:00:00,-16365.54,26536.41,51601.8,21113.37,996319,33083.86,20721.51,39069.11,21113.37
2024-03-15 23:15:00,22550.86,108004.67,-16198.68,21208.85,342875,37671.61,33891.43,45902.99,21208.85
2024-03-15 23:30:00,53933.92,57418.86,13581.7,21356.27,809650,30785.61,36572.69,35500.28,21356.27
2024-03-15 23:45:00,34760.32,131622.36,-19963.14,21494.11,1040892,44384.44,41978.41,55829.61,21494.11
