,open,high,low,close,volume,hlc3,ohlc4,hl2,price
2023-10-11 16:00:00,37065.18,162475.54,-47424.84,21234.93,683519,45428.55,43337.7,57525.35,21234.93
2023-10-11 20:00:00,76815.13,83377.42,10290.46,21167.03,637819,38278.3,47912.51,46833.94,21167.03
2023-10-12 00:00:00,15066.66,64575.24,-22850.22,21096.04,200205,20940.35,19471.93,20862.51,21096.04
2023-10-12 04:00:00,80538.37,287316.35,-2741.18,21058.78,1327783,101877.98,96543.08,142287.58,21058.78
2023-10-12 08:00:00,47090.86,143601.54,-22624.09,21070.39,1082562,47349.28,47284.67,60488.72,21070.39
2023-10-12 12:00:00,52571.9,210235.76,1128.59,21100.42,876681,77488.26,71259.17,105682.17,21100.42
2023-10-12 16:00:00,39985.82,98882.45,-12613.02,21171.19,748911,35813.54,36856.61,43134.72,21171.19
2023-10-12 20:00:00,15154.76,42094.71,-12993.97,21300.7,721473,16800.48,16389.05,14550.37,21300.7
2023-10-13 00:00:00,-5880.17,62078.8,1011.07,21400.89,1203868,28163.59,19652.65,31544.94,21400.89
2023-10-13 04:00:00,-27368.87,23686.96,52568.43,21524.35,1029145,32593.25,17602.72,38127.7,21524.35
2023-10-13 08:00:00,97444.13,281621.82,-21103.35,21656.02,751197,94058.16,94904.66,130259.24,21656.02
2023-10-13 12:00:00,-24436.09,48444.08,49489.11,21779.62,1164625,39904.27,23819.18,48966.6,21779.62
2023-10-13 16:00:00,18515.11,68383.56,13775.06,21903.25,925164,34687.29,30644.25,41079.31,21903.25
2023-10-13 20:00:00,33175.63,132117.52,21357.72,21986.6,1173016,58487.28,52159.37,76737.62,21986.6
2023-10-14 00:00:00,-585.83,36478.19,726.09,22031.9,707200,19745.4,14662.59,18602.14,22031.9
2023-10-14 04:00:00,-58073.54,22129.36,160476.56,22081.14,1152536,68229.02,36653.38,91302.96,22081.14
2023-10-14 08:00:00,2873.05,25072.26,429.66,22051.12,1306405,15851.01,12606.52,12750.96,22051.12
2023-10-14 12:00:00,55821.59,79269.33,-60902.73,21966.49,687339,13444.36,24038.67,9183.3,21966.49
2023-10-14 16:00:00,40663.45,53614.76,-14273.67,21855.53,1027175,20398.87,25465.02,19670.55,21855.53
2023-10-14 20:00:00,981.07,116644.02,-3390.09,21724.84,1039521,44992.92,33989.96,56626.96,21724.84
2023-10-15 00:00:00,-41177.12,36091.14,-14227.44,21570.7,820919,14478.13,564.32,10931.85,21570.7
2023-10-15 04:00:00,41249.49,149488.65,19269.71,21408.91,1045973,63389.09,57854.19,84379.18,21408.91
2023-10-15 08:00:00,7218.94,28645.68,-7068.89,21278.02,1186343,14284.94,12518.44,10788.39,21278.02
2023-10-15 12:00:00,46639.46,149676.15,-20888.82,21146.58,810410,49977.97,49143.34,64393.66,21146.58
2023-10-15 16:00:00,55658.44,269367.67,-41306.31,21062.26,988617,83041.2,76195.51,114030.68,21062.26
2023-10-15 20:00:00,17152.65,96096.48,-69415.88,20998.74,807774,15893.11,16208.0,13340.3,20998.74
2023-10-16 00:00:00,20538.81,51540.62,-22578.01,20981.11,1060902,16647.91,17620.63,14481.3,20981.11
2023-10-16 04:00:00,44983.84,61831.98,4574.89,21023.57,1139512,29143.48,33103.57,33203.43,21023.57
2023-10-16 08:00:00,16232.21,25230.18,12256.88,21113.35,985890,19533.47,18708.16,18743.53,21113.35
2023-10-16 12:00:00,10538.32,107253.8,-19581.09,21208.83,1045862,36293.85,29854.96,43836.35,21208.83
