,open,high,low,close,volume,hlc3,ohlc4,hl2,price
2021-07-12,-23922.85,71971.14,-1538.39,21234.93,962085,30555.89,16936.21,35216.37,21234.93
2021-07-13,-26878.63,36559.05,23069.96,21167.04,495979,26932.01,13479.35,29814.5,21167.04
2021-07-14,49937.33,92369.06,-11568.84,21096.05,479131,33965.42,37958.4,40400.11,21096.05
2021-07-15,13026.94,112139.04,7954.24,21058.81,683434,47050.7,38544.76,60046.64,21058.81
2021-07-16,52458.27,161768.38,-88745.99,21070.43,759325,31364.27,36637.77,36511.19,21070.43
2021-07-19,-46469.59,31681.11,89902.33,21100.46,1123920,47561.3,24053.58,60791.72,21100.46
2021-07-20,15776.74,22590.07,-23990.27,21171.24,684643,6590.35,8886.95,-700.1,21171.24
2021-07-21,6921.85,119417.16,4175.44,21300.75,1112082,48297.78,37953.8,61796.3,21300.75
2021-07-22,-2872.4,51714.29,8536.6,21400.96,557430,27217.28,19694.86,30125.45,21400.96
2021-07-23,-18514.57,45121.47,-410.81,21524.42,1085909,22078.36,11930.13,22355.33,21524.42
2021-07-26,44191.84,147279.61,4704.48,21656.1,1137482,57880.07,54458.01,75992.05,21656.1
2021-07-27,25555.39,49727.31,-43338.31,21779.71,999164,9389.57,13431.03,3194.5,21779.71
2021-07-28,38572.87,68487.84,-34345.71,21903.35,704877,18681.83,23654.59,17071.06,21903.35
2021-07-29,34504.17,128027.76,21127.56,21986.71,1384178,57047.34,51411.55,74577.66,21986.71
2021-07-30,-29963.08,24629.64,30801.18,22032.02,1520562,25820.94,11874.94,27715.41,22032.02
2021-08-02,-21285.13,55383.22,-5601.2,22081.26,1271968,23954.43,12644.54,24891.01,22081.26
2021-08-03,4377.42,45527.96,2444.82,22051.25,795109,23341.34,18600.36,23986.39,22051.25
2021-08-04,47301.5,117809.45,-44551.5,21966.63,1948526,31741.53,35631.52,36628.98,21966.63
2021-08-05,21061.27,49116.59,-60248.13,21855.67,712499,3574.71,7946.35,-5565.77,21855.67
2021-08-06,101116.73,182698.29,-18691.14,21725.0,1128771,61910.72,71712.22,82003.57,21725.0
2021-08-09,-29445.83,130802.96,9431.76,21570.86,1049666,53935.19,33089.94,70117.36,21570.86
2021-08-10,15919.36,46989.16,13106.17,21409.08,1449202,27168.14,24355.94,30047.66,21409.08
2021-08-11,4627.2,129126.82,-1531.23,21278.2,888893,49624.6,38375.25,63797.8,21278.2
2021-08-12,15280.92,56267.13,13279.91,21146.77,1052443,30231.27,26493.68,34773.52,21146.77
2021-08-13,-18845.77,55609.39,968.58,21062.45,1188023,25880.14,14698.66,28288.98,21062.45
2021-08-16,28734.1,88247.91,-2503.51,20998.94,1389728,35581.11,33869.36,42872.2,20998.94
2021-08-17,-3539.54,55557.66,8904.07,20981.33,940715,28481.02,20475.88,32230.87,20981.33
2021-08-18,1302.05,53426.59,-2652.89,21023.79,765680,23932.5,18274.89,25386.85,21023.79
2021-08-19,68560.88,113463.26,-21484.13,21113.57,1256578,37697.57,45413.4,45989.56,21113.57
2021-08-20,83094.5,245461.44,-27840.87,21209.07,1642906,79609.88,80481.04,108810.29,21209.07
2021-08-23,63465.87,136289.96,-15182.22,21356.49,1106222,47488.08,51482.53,60553.87,21356.49
2021-08-24,50055.38,130909.38,16062.39,21494.34,1274028,56155.37,54630.37,73485.89,21494.34
2021-08-25,-14568.22,64799.48,42172.23,21637.8,1465799,42869.84,28510.32,53485.85,21637.8
2021-08-26,63499.82,327391.21,8483.13,21816.94,715741,119230.43,105297.78,167937.17,21816.94
2021-08-27,81698.19,225908.17,1464.17,21974.01,816996,83115.45,82761.14,113686.17,21974.01
2021-08-30,-22559.62,26235.4,60860.57,22116.2,1210842,36404.06,21663.14,43547.99,22116.2
2021-08-31,52137.29,238130.52,-26267.27,22218.64,1004635,78027.3,71554.8,105931.63,22218.64
2021-09-01,-3751.86,31665.25,662.22,22299.8,941246,18209.09,12718.85,16163.74,22299.8
2021-09-02,-17010.05,34313.07,13770.08,22345.72,1081673,23476.29,13354.71,24041.58,22345.72
2021-09-03,112761.87,132647.47,-51616.26,22363.44,662407,34464.88,54039.13,40515.6,22363.44
2021-09-06,26252.9,68638.73,-19877.04,22351.65,935292,23704.45,24341.56,24380.84,22351.65
2021-09-07,84113.88,140132.02,-59687.26,22303.65,431986,34249.47,46715.57,40222.38,22303.65
2021-09-08,29759.16,108846.47,-38736.84,22287.0,783984,30798.88,30538.95,35054.81,22287.0
2021-09-09,-29331.85,90523.01,23393.03,22321.69,995022,45412.58,26726.47,56958.02,22321.69
2021-09-10,-11740.72,75645.95,-551.21,22355.2,717494,32483.31,21427.31,37547.37,22355.2
2021-09-13,29539.56,91697.74,-9752.9,22401.48,1045243,34782.1,33471.47,40972.42,22401.48
2021-09-14,-12194.65,51154.84,-7872.74,22474.72,302205,21918.94,13390.54,21641.05,22474.72
2021-09-15,54857.34,89588.84,-20782.68,22596.07,1282075,30467.41,36564.89,34403.08,22596.07
2021-09-16,-30897.38,97732.61,39475.87,22759.18,709690,53322.55,32267.57,68604.24,22759.18
2021-09-17,7345.5,42755.31,-2752.79,22961.42,1101380,20987.98,17577.36,20001.26,22961.42
2021-09-20,3575.95,51563.85,-12667.44,23184.55,922925,20693.65,16414.23,19448.2,23184.55
2021-09-21,50093.19,107536.77,-7843.43,23424.69,1622961,41039.34,43302.81,49846.67,23424.69
2021-09-22,-11293.14,41953.82,-9175.96,23667.61,1264565,18815.16,11288.09,16388.93,23667.61
2021-09-23,-20614.72,94414.49,58113.44,23888.25,945393,58805.39,38950.36,76263.96,23888.25
2021-09-24,41182.09,128769.34,12485.78,24091.59,710684,55115.57,51632.2,70627.56,24091.59
2021-09-27,-18962.43,104554.63,26925.46,24273.15,910803,51917.74,34197.7,65740.04,24273.15
2021-09-28,67755.1,336384.44,-7178.97,24400.22,1492002,117868.56,105340.2,164602.74,24400.22
2021-09-29,-56969.07,30993.93,115283.71,24475.27,934761,56917.63,28445.96,73138.82,24475.27
2021-09-30,16472.38,26131.85,-3847.52,24519.24,1163836,15601.19,15818.99,11142.16,24519.24
2021-10-01,37492.47,128610.83,-37288.89,24506.87,1127652,38609.6,38330.32,45660.97,24506.87
2021-10-04,44615.36,91456.75,5281.22,24444.81,888159,40394.26,41449.53,48368.99,24444.81
2021-10-05,49457.26,121057.8,-40143.92,24322.17,825543,35078.68,38673.33,40456.94,24322.17
2021-10-06,36742.91,59688.16,2660.98,24135.13,707571,28828.09,30806.79,31174.57,24135.13
2021-10-07,90667.63,276515.51,-17860.05,23984.14,1071109,94213.2,93326.81,129327.73,23984.14
2021-10-08,64253.76,301583.63,14571.04,23822.7,398833,113325.79,101057.78,158077.34,23822.7
2021-10-11,68901.61,155806.86,-11453.61,23627.55,1182394,55993.6,59220.6,72176.62,23627.55
2021-10-12,28302.34,96982.84,1977.12,23474.34,1025364,40811.43,37684.16,49479.98,23474.34
2021-10-13,22309.92,48301.57,-77290.65,23338.9,648794,-1883.4,4164.93,-14494.54,23338.9
2021-10-14,-50107.62,96855.85,-42586.58,23248.12,771304,25839.13,6852.44,27134.63,23248.12
2021-10-15,21280.48,26609.65,-11303.06,23161.75,906022,12822.78,14937.21,7653.29,23161.75
2021-10-18,-41838.32,69080.61,-34906.11,23075.71,1150674,19083.4,3852.97,17087.25,23075.71
2021-10-19,31895.24,88658.64,12600.81,23005.01,587510,41421.49,39039.93,50629.73,23005.01
2021-10-20,26566.86,32003.04,13655.11,22953.45,806797,22870.54,23794.62,22829.08,22953.45
2021-10-21,80595.22,139313.75,-11249.23,22902.27,897552,50322.26,57890.5,64032.26,22902.27
2021-10-22,32033.42,51075.57,-2308.64,22852.53,714885,23873.15,25913.22,24383.46,22852.53
2021-10-25,34948.04,103986.9,-59103.23,22811.09,360460,22564.92,25660.7,22441.83,22811.09
2021-10-26,5033.21,94869.23,-4017.02,22715.88,1197040,37856.03,29650.33,45426.1,22715.88
2021-10-27,28276.22,84280.94,20679.47,22598.9,615400,42519.77,38958.88,52480.21,22598.9
2021-10-28,49262.38,142250.2,18306.16,22421.24,1162006,60992.53,58059.99,80278.18,22421.24
2021-10-29,3327.37,23732.4,-1532.17,22196.22,967929,14798.82,11930.95,11100.12,22196.22
2021-11-01,-4752.65,42423.14,7913.16,21912.16,608301,24082.82,16873.95,25168.15,21912.16
2021-11-02,-13512.97,73910.38,-1540.65,21665.91,967825,31345.21,20130.67,36184.87,21665.91
2021-11-03,6932.54,32737.93,-7741.51,21381.6,1068794,15459.34,13327.64,12498.21,21381.6
2021-11-04,-29127.75,63176.06,17886.03,21127.76,1056531,34063.28,18265.52,40531.05,21127.76
2021-11-05,15736.44,86068.6,-5266.76,20817.76,1052078,33873.2,29339.01,40400.92,20817.76
2021-11-08,143772.99,359523.96,-20387.47,20558.06,1143483,119898.19,125866.89,169568.25,20558.06
2021-11-09,46662.97,69413.49,9972.38,20286.75,922034,33224.21,36583.9,39692.93,20286.75
2021-11-10,-23845.83,21078.72,8312.09,20072.33,605267,16487.71,6404.33,14695.41,20072.33
2021-11-11,52437.86,107430.24,-24997.53,19949.02,937660,34127.24,38704.9,41216.35,19949.02
2021-11-12,15220.15,25176.44,14099.25,19852.14,1172005,19709.28,18586.99,19637.84,19852.14
2021-11-15,-23100.86,29643.03,96319.09,19804.28,1272719,48588.8,30666.38,62981.06,19804.28
2021-11-16,1465.95,20559.94,-3089.03,19812.91,1161277,12427.94,9687.44,8735.45,19812.91
2021-11-17,56114.25,89815.12,-19581.72,19845.44,643677,30026.28,36548.27,35116.7,19845.44
2021-11-18,57572.06,221199.29,-4262.04,19966.85,598706,78968.03,73619.04,108468.62,19966.85
2021-11-19,39931.85,80799.92,-34739.39,20114.24,973245,22058.26,26526.65,23030.26,20114.24
2021-11-22,-4611.39,37103.62,3190.97,20245.95,1219504,20180.18,13982.29,20147.3,20245.95
2021-11-23,-57779.06,25244.97,99009.32,20413.57,1298070,48222.62,21722.2,62127.15,20413.57
2021-11-24,-41830.81,67872.27,30976.32,20556.71,593408,39801.77,19393.62,49424.3,20556.71
2021-11-25,35520.41,136372.42,6759.27,20698.69,912084,54610.12,49837.7,71565.84,20698.69
2021-11-26,49591.44,101209.58,-31385.17,20799.23,962817,30207.88,35053.77,34912.2,20799.23
2021-11-29,56102.36,81816.04,-55776.77,20865.14,1229390,15634.8,25751.69,13019.63,20865.14
2021-11-30,7122.0,68580.79,-12064.4,20885.48,1002308,25800.62,21130.97,28258.2,20885.48
2021-12-01,30789.39,61058.75,-459.22,20916.45,1157085,27171.99,28076.34,30299.76,20916.45
2021-12-02,17546.52,117836.55,-45340.96,20933.37,1081014,31142.98,27743.87,36247.79,20933.37
2021-12-03,-51908.71,42072.36,26605.22,20940.34,1532728,29872.64,9427.3,34338.79,20940.34
2021-12-06,17223.19,33280.29,13510.82,20925.65,1001790,22572.25,21234.99,23395.56,20925.65
2021-12-07,31633.28,80428.34,-6706.01,20926.31,432028,31549.55,31570.48,36861.17,20926.31
2021-12-08,81210.07,175561.65,-9948.87,20969.52,787852,62194.1,66948.09,82806.39,20969.52
2021-12-09,-4635.2,66438.24,3337.93,21061.15,939886,30279.11,21550.53,34888.09,21061.15
2021-12-10,53137.44,141506.65,-47981.85,21177.94,987202,38234.25,41960.05,46762.4,21177.94
2021-12-13,58777.31,98763.53,2308.46,21308.9,1081349,40793.63,45289.55,50535.99,21308.9
2021-12-14,40356.82,252404.05,-25514.2,21527.7,915717,82805.85,72193.59,113444.92,21527.7
2021-12-15,77194.37,194648.51,21527.79,21786.46,992709,79320.92,78789.28,108088.15,21786.46
2021-12-16,90275.23,405079.68,-7223.22,22030.41,402347,139962.29,127540.53,198928.23,22030.41
2021-12-17,35346.53,55897.66,20448.31,22307.47,721235,32884.48,33499.99,38172.98,22307.47
2021-12-20,5355.68,89309.91,1781.47,22587.96,713716,37893.11,29758.75,45545.69,22587.96
2021-12-21,73104.87,167820.72,-35305.12,22877.08,1141861,51797.56,57124.39,66257.8,22877.08
2021-12-22,104013.1,217909.45,9745.59,23138.61,939505,83597.88,88701.69,113827.52,23138.61
2021-12-23,17859.2,81266.23,-12623.23,23322.95,847169,30655.32,27456.29,34321.5,23322.95
2021-12-24,47258.03,56538.22,-6362.74,23494.91,987464,24556.79,30232.1,25087.74,23494.91
2021-12-27,25517.78,69901.67,21794.77,23640.9,1259196,38445.78,35213.78,45848.22,23640.9
2021-12-28,57959.54,160063.73,18638.93,23706.41,521044,67469.69,65092.15,89351.33,23706.41
2021-12-29,-22385.0,61701.73,74628.77,23730.39,1543386,53353.63,34418.97,68165.25,23730.39
2021-12-30,30874.88,48330.73,-323.72,23702.97,887199,23903.33,25646.22,24003.51,23702.97
2021-12-31,9106.13,37301.54,2287.96,23631.92,968311,21073.81,18081.89,19794.75,23631.92
2022-01-03,40989.31,54196.27,-43218.14,23533.41,1325696,11503.85,18875.21,5489.06,23533.41
2022-01-04,-4184.51,38849.85,3726.27,23419.51,1158924,21998.54,15452.78,21288.06,23419.51
2022-01-05,78980.17,184179.42,8860.38,23345.71,439150,72128.5,73841.42,96519.9,23345.71
2022-01-06,-92344.79,89734.72,220129.54,23215.13,527913,111026.47,60183.65,154932.13,23215.13
2022-01-07,51130.34,207030.14,-7020.08,23117.44,719148,74375.83,68564.46,100005.03,23117.44
2022-01-10,72927.94,134288.94,12681.04,23061.54,1069560,56677.17,60739.87,73484.99,23061.54
2022-01-11,5947.68,61277.78,2754.22,23030.67,1485001,29020.89,23252.59,32016.0,23030.67
2022-01-12,68303.89,284011.94,745.85,23027.67,1077076,102595.15,94022.34,142378.89,23027.67
2022-01-13,55181.87,187470.37,-7232.13,23043.87,1377491,67760.7,64615.99,90119.12,23043.87
2022-01-14,56752.67,153440.61,10389.13,23093.47,1169525,62307.74,60918.97,81914.87,23093.47
2022-01-17,62438.33,211366.74,-31970.97,23171.34,1311060,67522.37,66251.36,89697.88,23171.34
2022-01-18,-36237.08,45316.07,43997.19,23212.03,1141977,37508.43,19072.05,44656.63,23212.03
2022-01-19,31808.44,140323.19,-58133.74,23296.29,1239364,35161.91,34323.54,41094.72,23296.29
2022-01-20,55299.01,146094.96,-366.96,23347.42,1278612,56358.47,56093.61,72864.0,23347.42
2022-01-21,12509.6,125231.04,6422.99,23356.39,1175791,51670.14,41880.01,65827.01,23356.39
2022-01-24,-11676.39,72159.12,14326.23,23343.02,561889,36609.46,24538.0,43242.68,23343.02
2022-01-25,63152.3,217847.42,17669.92,23306.58,1296171,86274.64,80494.05,117758.67,23306.58
2022-01-26,-23689.81,123829.97,35749.08,23213.62,1453787,60930.89,39775.72,79789.53,23213.62
2022-01-27,66462.96,205309.87,19355.41,23117.04,1038401,82594.11,78561.32,112332.64,23117.04
2022-01-28,-32183.79,35291.84,-24577.65,22956.73,995709,11223.64,371.78,5357.1,22956.73
2022-01-31,-7572.35,28055.14,24850.12,22783.24,664087,25229.5,17029.04,26452.63,22783.24
2022-02-01,93555.31,286012.23,-17708.56,22612.84,435499,96972.17,96117.96,134151.83,22612.84
