,open,high,low,close,volume,hlc3,ohlc4,hl2,price
2021-07-12,99.1,99.35,92.94,94.31,5060448,95.53,96.43,96.15,94.31
2021-07-13,94.69,95.97,92.85,93.21,2746176,94.01,94.18,94.41,93.21
2021-07-14,89.5,93.89,89.24,92.2,4135221,91.78,91.21,91.56,92.2
2021-07-15,88.43,92.22,88.18,91.08,9415826,90.49,89.98,90.2,91.08
2021-07-16,92.3,93.37,90.34,90.91,4145562,91.54,91.73,91.85,90.91
2021-07-19,89.64,91.09,87.75,90.92,4701057,89.92,89.85,89.42,90.92
2021-07-20,90.93,93.29,90.5,90.87,5171088,91.55,91.4,91.89,90.87
2021-07-21,87.97,91.84,84.16,91.08,4343675,89.03,88.76,88.0,91.08
2021-07-22,91.13,92.43,90.59,91.13,6778230,91.38,91.32,91.51,91.13
2021-07-23,91.92,94.46,89.56,91.82,2087190,91.94,91.94,92.01,91.82
2021-07-26,94.16,95.5,92.23,92.45,4806557,93.39,93.58,93.87,92.45
2021-07-27,91.34,94.95,90.28,92.98,4689351,92.74,92.39,92.62,92.98
2021-07-28,92.75,94.96,92.56,93.71,3671309,93.74,93.49,93.76,93.71
2021-07-29,96.21,97.81,94.27,94.36,4869535,95.48,95.66,96.04,94.36
2021-07-30,93.06,96.17,88.53,94.7,6585412,93.13,93.11,92.35,94.7
2021-08-02,97.16,97.7,94.72,95.23,4779740,95.88,96.2,96.21,95.23
2021-08-03,93.91,97.35,93.9,95.61,4903865,95.62,95.19,95.62,95.61
2021-08-04,93.96,97.6,93.16,95.16,6537831,95.31,94.97,95.38,95.16
2021-08-05,91.88,98.02,88.96,95.01,3335766,94.0,93.47,93.49,95.01
2021-08-06,98.08,98.09,90.89,94.44,4968896,94.47,95.37,94.49,94.44
2021-08-09,92.97,94.42,92.52,94.16,6953612,93.7,93.52,93.47,94.16
2021-08-10,93.71,94.16,93.22,93.99,2379698,93.79,93.77,93.69,93.99
2021-08-11,92.93,94.8,89.72,94.04,4442614,92.85,92.87,92.26,94.04
2021-08-12,92.79,94.57,92.19,94.11,6636620,93.62,93.41,93.38,94.11
2021-08-13,92.14,98.65,91.23,94.31,4096247,94.73,94.08,94.94,94.31
2021-08-16,93.6,94.46,92.94,94.34,7469944,93.91,93.83,93.7,94.34
2021-08-17,90.06,96.04,87.19,94.38,2911460,92.53,91.92,91.61,94.38
2021-08-18,97.13,97.21,91.63,94.95,6376043,94.6,95.23,94.42,94.95
2021-08-19,95.99,96.05,94.87,95.73,3556963,95.55,95.66,95.46,95.73
2021-08-20,98.75,99.98,96.23,96.48,4311833,97.56,97.86,98.1,96.48
2021-08-23,98.79,100.75,97.41,97.46,721338,98.54,98.6,99.08,97.46
2021-08-24,95.89,101.16,95.37,98.7,5502791,98.41,97.78,98.27,98.7
2021-08-25,100.39,102.33,99.1,99.57,4586299,100.33,100.35,100.71,99.57
2021-08-26,103.1,103.19,99.47,100.29,4554047,100.98,101.51,101.33,100.29
2021-08-27,99.26,102.1,97.21,100.82,7399846,100.05,99.85,99.66,100.82
2021-08-30,100.56,102.4,98.92,101.26,5648495,100.86,100.79,100.66,101.26
2021-08-31,100.05,105.56,99.86,101.57,4835347,102.33,101.76,102.71,101.57
2021-09-01,103.25,103.68,100.44,101.5,4336072,101.87,102.22,102.06,101.5
2021-09-02,101.63,104.27,100.04,101.13,4755540,101.81,101.77,102.15,101.13
2021-09-03,103.93,106.87,99.34,100.63,4449407,102.28,102.69,103.1,100.63
2021-09-06,100.35,102.36,99.8,100.27,4746452,100.81,100.7,101.08,100.27
2021-09-07,99.1,101.52,96.32,99.57,5037625,99.13,99.13,98.92,99.57
2021-09-08,98.12,100.13,96.14,98.72,4462318,98.33,98.28,98.13,98.72
2021-09-09,95.94,99.2,94.16,98.46,5424607,97.27,96.94,96.68,98.46
2021-09-10,98.44,102.55,93.75,97.69,3674916,98.0,98.11,98.15,97.69
2021-09-13,96.48,98.82,95.5,97.39,3938647,97.23,97.05,97.16,97.39
2021-09-14,96.38,99.94,95.69,97.42,4681062,97.69,97.36,97.82,97.42
2021-09-15,95.13,97.99,94.68,97.16,4670934,96.61,96.24,96.34,97.16
