,open,high,low,close,volume,hlc3,ohlc4,hl2,price
2021-07-12,106.89,107.37,106.83,107.18,3681987,107.13,107.07,107.1,107.18
2021-07-13,107.03,111.78,104.35,107.39,4903491,107.84,107.64,108.07,107.39
2021-07-14,110.53,112.36,103.99,107.85,6909093,108.07,108.68,108.17,107.85
2021-07-15,109.75,109.8,105.73,108.22,5793011,107.92,108.37,107.76,108.22
2021-07-16,106.12,110.81,105.48,108.72,6499036,108.34,107.79,108.15,108.72
2021-07-19,107.42,109.38,105.06,108.86,6281780,107.76,107.68,107.22,108.86
2021-07-20,107.36,108.88,105.59,108.82,4572229,107.76,107.66,107.24,108.82
2021-07-21,106.75,109.3,104.41,108.38,7145066,107.36,107.21,106.85,108.38
2021-07-22,109.72,111.54,107.8,107.95,3658519,109.1,109.25,109.67,107.95
2021-07-23,110.56,110.91,106.87,107.39,4564056,108.39,108.93,108.89,107.39
2021-07-26,108.08,108.31,105.03,106.64,3760970,106.66,107.01,106.67,106.64
2021-07-27,104.84,109.05,102.74,106.04,3222074,105.94,105.67,105.89,106.04
2021-07-28,106.42,108.67,102.01,105.06,4573082,105.25,105.54,105.34,105.06
2021-07-29,104.63,109.29,102.77,103.94,5802955,105.33,105.16,106.03,103.94
2021-07-30,101.56,106.95,101.06,102.78,6780764,103.59,103.08,104.0,102.78
2021-08-02,104.48,105.18,99.98,101.73,5034530,102.29,102.84,102.58,101.73
2021-08-03,99.85,101.2,99.04,100.69,4393802,100.31,100.19,100.12,100.69
2021-08-04,98.25,101.75,97.8,99.9,3561117,99.81,99.42,99.77,99.9
2021-08-05,99.61,100.26,98.98,99.71,49064,99.65,99.64,99.62,99.71
2021-08-06,101.01,102.29,98.79,99.69,4917729,100.25,100.44,100.54,99.69
2021-08-09,99.71,100.03,92.89,99.75,4613688,97.55,98.09,96.46,99.75
2021-08-10,96.87,101.11,95.92,99.94,3016563,98.99,98.46,98.51,99.94
2021-08-11,101.17,101.58,99.68,100.23,7621888,100.49,100.66,100.63,100.23
2021-08-12,100.86,101.34,99.21,100.25,6393384,100.27,100.41,100.28,100.25
2021-08-13,98.81,103.61,96.78,100.88,6958136,100.42,100.02,100.19,100.88
2021-08-16,99.94,102.02,97.29,101.05,3576889,100.12,100.07,99.65,101.05
2021-08-17,103.77,104.39,100.43,101.24,5632929,102.02,102.46,102.41,101.24
2021-08-18,101.56,104.05,100.73,101.07,4765658,101.95,101.85,102.39,101.07
2021-08-19,101.64,103.23,98.82,101.25,6363533,101.1,101.23,101.02,101.25
2021-08-20,99.77,104.22,98.83,100.97,4210275,101.34,100.95,101.52,100.97
2021-08-23,102.64,103.27,98.77,100.33,5173044,100.79,101.25,101.02,100.33
2021-08-24,98.47,103.26,96.96,99.97,5153130,100.06,99.67,100.11,99.97
2021-08-25,99.7,102.7,98.57,99.18,4630988,100.15,100.04,100.63,99.18
2021-08-26,99.11,100.41,94.61,98.51,5628322,97.84,98.16,97.51,98.51
2021-08-27,99.02,106.19,98.07,98.21,3960547,100.82,100.37,102.13,98.21
2021-08-30,98.64,99.3,97.3,98.02,3471288,98.2,98.31,98.3,98.02
2021-08-31,95.25,98.17,94.59,97.71,4387500,96.82,96.43,96.38,97.71
2021-09-01,98.79,102.76,95.42,97.63,6818255,98.6,98.65,99.09,97.63
